# id    length  x       y       z       rot_z   rot_y   rot_x
1 0.4000 -1.2500 -1.2500 0.0 0.0 0.0 0.0
19 0.0150 -0.7500 -1.25 0.0 0.0 0.0 0.0
37 0.15 -0.7500 -1.125 0.0 0.0 0.0 0.0
2 0.4000 -0.2500 -1.2500 0.0 0.0 0.0 0.0
28 0.015 0.2500 -1.2500 0.0 0.0 0.0 0.0
38 0.15 0.2500 -1.12500 0.0 0.0 0.0 0.0
3 0.4000 0.7500 -1.2500 0.0 0.0 0.0 0.0
34 0.015 1.2500 -1.2500 0.0 0.0 0.0 0.0
39 0.15 1.2500 -1.12500 0.0 0.0 0.0 0.0
20 0.015 -1.2500 -0.7500 0.0 0.0 0.0 0.0
40 0.15 -1.2500 -0.625 0.0 0.0 0.0 0.0
6 0.4000 -0.7500 -0.7500 0.0 0.0 0.0 0.0
25 0.0150 -0.2500 -0.7500 0.0 0.0 0.0 0.0
41 0.15 -0.2500 -0.625 0.0 0.0 0.0 0.0
5 0.4000 0.2500 -0.7500 0.0 0.0 0.0 0.0
31 0.0150 0.7500 -0.7500 0.0 0.0 0.0 0.0
42 0.15 0.7500 -0.625 0.0 0.0 0.0 0.0
4 0.4000 1.2500 -0.7500 0.0 0.0 0.0 0.0
7 0.4000 -1.2500 -0.2500 0.0 0.0 0.0 0.0
21 0.0150 -0.7500 -0.2500 0.0 0.0 0.0 0.0
43 0.15 -0.7500 -0.125 0.0 0.0 0.0 0.0
8 0.4000 -0.2500 -0.2500 0.0 0.0 0.0 0.0
29 0.0150 0.2500 -0.2500 0.0 0.0 0.0 0.0
44 0.15 0.2500 -0.12500 0.0 0.0 0.0 0.0
9 0.4000 0.7500 -0.2500 0.0 0.0 0.0 0.0
35 0.0150 1.2500 -0.2500 0.0 0.0 0.0 0.0
45 0.15 1.2500 -0.125 0.0 0.0 0.0 0.0
22 0.0150 -1.2500 0.2500 0.0 0.0 0.0 0.0
46 0.15 -1.2500 0.375 0.0 0.0 0.0 0.0
12 0.4000 -0.7500 0.2500 0.0 0.0 0.0 0.0
26 0.0150 -0.2500 0.2500 0.0 0.0 0.0 0.0
47 0.15 -0.2500 0.375 0.0 0.0 0.0 0.0
11 0.4000 0.2500 0.2500 0.0 0.0 0.0 0.0
32 0.0150 0.7500 0.2500 0.0 0.0 0.0 0.0
48 0.15 0.7500 0.375 0.0 0.0 0.0 0.0
10 0.4000 1.2500 0.2500 0.0 0.0 0.0 0.0
13 0.4000 -1.2500 0.7500 0.0 0.0 0.0 0.0
23 0.0150 -0.7500 0.7500 0.0 0.0 0.0 0.0
49 0.150 -0.7500 0.875 0.0 0.0 0.0 0.0
14 0.4000 -0.2500 0.7500 0.0 0.0 0.0 0.0
30 0.0150 0.2500 0.7500 0.0 0.0 0.0 0.0
50 0.15 0.2500 0.875 0.0 0.0 0.0 0.0
15 0.4000 0.7500 0.7500 0.0 0.0 0.0 0.0
36 0.0150 1.2500 0.7500 0.0 0.0 0.0 0.0
51 0.15 1.2500 0.875 0.0 0.0 0.0 0.0
24 0.0150 -1.2500 1.2500 0.0 0.0 0.0 0.0
52 0.15 -1.2500 1.375 0.0 0.0 0.0 0.0
18 0.4000 -0.7500 1.2500 0.0 0.0 0.0 0.0
27 0.0150 -0.2500 1.2500 0.0 0.0 0.0 0.0
53 0.15 -0.2500 1.375 0.0 0.0 0.0 0.0
67 0.4000 0.2500 1.2500 0.0 0.0 0.0 0.0
33 0.0150 0.7500 1.2500 0.0 0.0 0.0 0.0
54 0.150 0.7500 1.375 0.0 0.0 0.0 0.0
16 0.40 1.2500 1.2500 0.0 0.0 0.0 0.0
55 0.25 -1.37 -1.625 0.0 0.0 0.0 0.0
56 0.25 1.37 -1.625 0.0 0.0 0.0 0.0
57 0.25 1.37 1.625 0.0 0.0 0.0 0.0
58 0.25 -1.37 1.625 0.0 0.0 0.0 0.0
59 0.015 -0.3125 -2.0 0.0 0.0 0.0 0.0
60 0.015 0.3125 -2.0 0.0 0.0 0.0 0.0
61 0.015 0.9375 -2.0 0.0 0.0 0.0 0.0
62 0.015 -0.9375 -2.0 0.0 0.0 0.0 0.0
63 0.15 -0.3125 -1.85 0.0 0.0 0.0 0.0
64 0.15 0.3125 -1.85 0.0 0.0 0.0 0.0
65 0.15 0.9375 -1.85 0.0 0.0 0.0 0.0
66 0.15 -0.9375 -1.85 0.0 0.0 0.0 0.0
